"tokens","occurrences"
"Jews","193"
"were","178"
"that","156"
"Jewi","148"
"from","121"
"this","110"
"with","105"
"whic","96"
"tion","89"
"thei","88"
"have","80"
"been","77"
"Comm","69"
"camp","62"
"Ther","61"
"them","58"
"peop","55"
"ther","54"
"they","54"
"will","53"
"work","50"
"Ruma","49"
"atio","48"
"time","47"
"esie","44"
"othe","43"
"nsta","43"
"into","41"
"thes","41"
"some","41"
"aria","41"
"rati","40"
"Bulg","39"
"Frae","39"
"nkel","39"
"part","38"
"cons","38"
"only","37"
"nian","37"
"tran","36"
"depo","36"
"more","35"
"unde","35"
"rnme","35"
"acco","34"
"itte","34"
"prop","34"
"Gove","34"
"lati","33"
"befo","33"
"inte","33"
"Germ","32"
"pers","32"
"offi","32"
"take","31"
"rece","31"
"orde","30"
"This","30"
"ever","30"
"comp","30"
"thre","29"
"allo","29"
"afte","28"
"wher","28"
"pres","28"
"memb","28"
"citi","28"
"ment","27"
"than","27"
"stat","27"
"ions","26"
"when","26"
"many","25"
"left","25"
"rest","25"
"coun","25"
"call","25"
"woul","25"
"issi","25"
"Ausc","25"
"hwit","25"
"even","24"
"comm","24"
"also","24"
"ived","24"
"agai","24"
"popu","23"
"made","23"
"must","23"
"fami","23"
"bein","23"
"give","23"
"prov","23"
"abou","23"
"rtme","23"
"firs","23"
"ghet","23"
"form","22"
"Gest","22"
"cont","22"
"spor","22"
"case","21"
"grea","21"
"rted","21"
"Nazi","21"
"orga","20"
"selv","20"
"dist","20"
"prob","20"
"expe","20"
"repo","20"
"zens","20"
"onal","20"
"admi","20"
"arri","20"
"food","20"
"inst","19"
"know","19"
"Czec","19"
"year","19"
"rate","19"
"empl","19"
"plac","19"
"nist","19"
"marr","19"
"Coun","18"
"enla","18"
"name","18"
"coul","18"
"lies","18"
"deta","18"
"smal","18"
"last","18"
"hous","18"
"oner","18"
"days","17"
"cial","17"
"pris","17"
"fact","17"
"poli","17"
"unit","17"
"foll","17"
"shou","17"
"dren","17"
"sion","17"
"seve","17"
"depa","17"
"rict","17"
"deat","17"
"supp","16"
"ider","16"
"proc","16"
"conf","16"
"told","16"
"mont","16"
"appl","16"
"publ","16"
"conc","16"
"sent","16"
"able","16"
"thos","16"
"mber","16"
"Burg","15"
"very","15"
"suff","15"
"most","15"
"main","15"
"life","15"
"cent","15"
"numb","15"
"erty","15"
"star","15"
"emig","15"
"such","15"
"anti","15"
"regi","15"
"ecti","15"
"Mini","15"
"real","15"
"here","14"
"cond","14"
"over","14"
"gene","14"
"ness","14"
"thro","14"
"rdin","14"
"exce","14"
"leav","14"
"appe","14"
"foun","14"
"chil","14"
"trai","14"
"acti","14"
"righ","14"
"embe","14"
"show","14"
"nati","14"
"Stat","14"
"ente","14"
"town","14"
"Sofi","14"
"larg","13"
"tota","13"
"belo","13"
"appr","13"
"brou","13"
"diff","13"
"week","13"
"sted","13"
"four","13"
"pass","13"
"what","13"
"ster","13"
"Augu","13"
"ents","13"
"regu","13"
"fore","13"
"cted","13"
"Sept","13"
"entr","13"
"ntly","12"
"itio","12"
"ress","12"
"inat","12"
"ures","12"
"busi","12"
"livi","12"
"beca","12"
"ting","12"
"kind","12"
"clas","12"
"cert","12"
"Nati","12"
"stry","12"
"Depa","12"
"impo","12"
"dest","12"
"They","12"
"niza","12"
"purp","12"
"spec","12"
"late","12"
"rtat","12"
"repr","11"
"Aust","11"
"thou","11"
"serv","11"
"less","11"
"reli","11"
"exam","11"
"tive","11"
"mean","11"
"eren","11"
"poss","11"
"like","11"
"coll","11"
"owin","11"
"trea","11"
"fina","11"
"hear","11"
"your","11"
"rela","11"
"conv","11"
"essi","11"
"esta","11"
"same","11"
"dire","11"
"whil","11"
"stra","11"
"icat","11"
"desc","11"
"live","11"
"iage","11"
"rtee","11"
"gent","10"
"free","10"
"cate","10"
"home","10"
"rian","10"
"mate","10"
"betw","10"
"full","10"
"isca","10"
"well","10"
"guar","10"
"room","10"
"dail","10"
"carr","10"
"icul","10"
"nece","10"
"away","10"
"ably","10"
"move","10"
"beco","10"
"migh","10"
"labo","10"
"ined","10"
"amon","10"
"ares","10"
"enta","10"
"Some","10"
"Janu","10"
"scho","10"
"ered","10"
"ters","10"
"econ","10"
"omic","10"
"fort","10"
"good","10"
"took","10"
"thin","10"
"news","10"
"leva","10"
"wear","10"
