"tokens","occurrences"
"die","697"
"und","656"
"der","558"
"ein","558"
"den","482"
"ich","428"
"sch","402"
"das","332"
"wir","328"
"war","321"
"nic","290"
"gen","267"
"ten","251"
"uns","228"
"ver","226"
"che","204"
"aus","197"
"wur","194"
"mit","193"
"hat","193"
"sie","191"
"von","188"
"ste","185"
"auf","180"
"nac","174"
"ges","172"
"ist","159"
"all","148"
"hen","148"
"sen","143"
"bei","142"
"ter","139"
"ung","137"
"man","137"
"hab","135"
"Die","130"
"dem","129"
"sic","125"
"noc","122"
"ere","119"
"Sch","112"
"eit","108"
"vor","107"
"Ich","107"
"lic","106"
"des","104"
"wer","104"
"wie","104"
"auc","101"
"ren","99"
"rei","98"
"ner","96"
"sei","94"
"ben","93"
"mir","93"
"nte","92"
"abe","92"
"ers","91"
"bes","90"
"sse","90"
"Ver","89"
"zur","82"
"ser","82"
"ent","80"
"dan","80"
"Sie","79"
"her","78"
"wei","77"
"lte","77"
"mus","77"
"für","76"
"mei","76"
"wen","75"
"Aus","75"
"dur","75"
"nen","74"
"lie","73"
"nun","73"
"hte","72"
"vie","72"
"len","71"
"ihr","71"
"hie","71"
"cht","71"
"kei","71"
"kam","70"
"ang","69"
"als","69"
"and","68"
"Tag","68"
"Wir","68"
"ger","67"
"ige","67"
"Fra","67"
"was","67"
"seh","64"
"nde","63"
"sin","62"
"alt","62"
"Lag","62"
"Tan","62"
"sol","61"
"bis","60"
"übe","59"
"unt","59"
"geh","59"
"nur","58"
"hin","57"
"kon","57"
"jed","56"
"sta","55"
"ern","54"
"end","54"
"Ges","54"
"gem","54"
"ass","54"
"men","54"
"geb","53"
"Wie","53"
"gin","53"
"son","51"
"erh","51"
"tet","51"
"Dir","51"
"gel","50"
"fen","50"
"Nac","50"
"ine","49"
"ert","49"
"isc","49"
"Jud","49"
"kan","48"
"meh","48"
"tel","47"
"Zei","47"
"ebe","46"
"erl","46"
"Arb","46"
"gan","46"
"ort","46"
"Leu","45"
"ber","45"
"zum","45"
"Ein","44"
"Mar","44"
"omm","43"
"gew","42"
"Das","42"
"Gel","42"
"dor","42"
"zwe","42"
"Woh","41"
"Auf","41"
"wol","41"
"tsc","40"
"ach","40"
"Man","40"
"sel","40"
"Hau","40"
"kom","40"
"geg","39"
"ens","39"
"ier","39"
"uen","39"
"lan","39"
"tun","38"
"ode","38"
"haf","38"
"hts","38"
"nge","38"
"rte","38"
"ins","38"
"Men","38"
"hei","37"
"gro","37"
"lei","37"
"mic","37"
"las","36"
"Kin","36"
"dam","36"
"Gre","35"
"chr","35"
"bek","35"
"sag","35"
"rie","35"
"lle","35"
"fah","35"
"tha","35"
"tra","34"
"kle","34"
"Mut","34"
"Her","33"
"bra","33"
"Tra","33"
"och","33"
"hal","32"
"mer","32"
"ken","32"
"dar","32"
"ann","32"
"imm","32"
"wor","32"
"fue","32"
"ück","31"
"ete","31"
"ege","31"
"gut","31"
"Kul","31"
"tus","31"
"Sta","30"
"Fri","30"
"abg","30"
"age","30"
"gef","30"
"Der","30"
"Str","30"
"zus","29"
"rig","29"
"Pol","29"
"fte","29"
"Jah","29"
"jüd","29"
"chi","29"
"gab","29"
"mac","29"
"ene","28"
"uch","28"
"nsp","28"
"Als","28"
"Bri","28"
"eil","27"
"mme","27"
"Kon","27"
"Vor","27"
"Ihr","27"
"mal","27"
"ube","27"
"tan","26"
"suc","26"
"Leb","26"
"ehe","26"
"etw","26"
"ihm","26"
"jet","26"
"Per","25"
"erk","25"
"Gru","25"
"itz","25"
"tig","25"
"ate","25"
"rec","25"
"ess","25"
"Abe","25"
"wil","25"
"doc","25"
"fuh","25"
"Vis","25"
"chs","24"
"bin","24"
"Mei","24"
"nie","24"
"ieb","24"
"amm","24"
"Ihn","24"
"weg","23"
"ahr","23"
"hla","23"
"Han","23"
"bst","23"
"ing","23"
"Sac","23"
"ueb","23"
"ell","22"
"Rei","22"
"nze","22"
"ihn","22"
"ion","22"
"gle","22"
"Dan","22"
"Deu","21"
"let","21"
"bre","21"
"zer","21"
"zen","21"
"sem","21"
"chw","21"
"hst","20"
"tli","20"
"wan","20"
"erf","20"
"hrt","20"
"Woc","20"
"ker","20"
"eig","20"
"nat","20"
"ien","20"
"tap","20"
"woh","20"
"wis","20"
"ahl","20"
"era","19"
"Lei","19"
"ese","19"
"bef","19"
"etz","19"
"Bet","19"
"get","19"
"Ang","19"
"bli","19"
"nne","19"
"Fre","19"
"Mit","19"
"Vie","19"
"neh","19"
"ran","19"
"wür","19"
"lag","19"
"Ger","19"
"ick","19"
"mor","19"
"erz","18"
"müs","18"
"hau","18"
"kön","18"
"vom","18"
"nst","18"
"det","18"
"fol","18"
"tte","18"
"nke","18"
"tes","18"
"rac","18"
"kau","18"
"arb","18"
"iel","18"
"res","18"
"Kle","18"
"sst","18"
"sah","18"
"Hol","18"
"Len","18"
"Gas","18"
"Wei","17"
"chl","17"
"fer","17"
"lov","17"
"los","17"
"zun","17"
"Kra","17"
"ite","17"
"Unt","17"
"tor","17"
"eng","17"
"ond","17"
"sti","17"
"ack","17"
"Bei","17"
"Ess","17"
"edi","17"
"eck","17"
"ari","17"
"Bro","17"
"bri","17"
"Dei","17"
"fra","17"
"Hae","17"
"tio","16"
"emb","16"
"del","16"
"Ber","16"
"Bes","16"
"ehö","16"
"nis","16"
"ede","16"
"Kre","16"
"hos","16"
"ibe","16"
"ord","16"
"dig","16"
"sor","16"
"elt","16"
"Mon","16"
"beg","16"
"cha","16"
"lau","16"
"ohn","16"
"lls","16"
"Wag","16"
"ute","16"
"The","16"
"Son","16"
"erw","16"
"zte","16"
"Ord","16"
"Naz","16"
"fre","16"
"lin","16"
"Bit","16"
"tae","16"
"tre","15"
"bez","15"
"han","15"
"sof","15"
"vol","15"
"eis","15"
"run","15"
"mat","15"
"deu","15"
"uss","15"
"str","15"
"ftl","15"
"ied","15"
"Ghe","15"
"cke","15"
"kli","15"
"jen","15"
"ind","15"
"uer","15"
"ble","15"
"Was","15"
"Bek","15"
"kӧn","15"
"Mam","15"
"Wen","15"
"sun","14"
"Ste","14"
"spr","14"
"art","14"
"sul","14"
"Bar","14"
"ili","14"
"nnt","14"
"tto","14"
"ric","14"
"gte","14"
"Kri","14"
"nah","14"
"hre","14"
"Jun","14"
"wel","14"
"gek","14"
"Mae","14"
"ael","14"
"zei","14"
"tag","14"
"rst","14"
"Euc","14"
"hde","14"
"Aut","14"
"wus","14"
"bal","14"
"Dic","14"
"Rut","14"
"ses","13"
"Pra","13"
"aft","13"
"esc","13"
"lun","13"
"ori","13"
"ele","13"
"gas","13"
"kra","13"
"llt","13"
"obe","13"
"tis","13"
"ank","13"
"kte","13"
"ckt","13"
"ürl","13"
"hol","13"
"Dur","13"
"Gep","13"
"gla","13"
"erg","13"
"bar","13"
"aeh","13"
"Lie","13"
"Spe","13"
"rag","13"
"Bil","13"
"Tod","13"
"Las","13"
"zug","12"
"eic","12"
"mög","12"
"tei","12"
"Auc","12"
"Bew","12"
"inn","12"
"pro","12"
"min","12"
"oli","12"
"gez","12"
"ild","12"
"leb","12"
"Fam","12"
"efe","12"
"Män","12"
"for","12"
"fin","12"
"lec","12"
"tro","12"
"rau","12"
"ppe","12"
"ant","12"
"dre","12"
"tie","12"
"Uhr","12"
"fes","12"
"spa","12"
"nfa","12"
"Vat","12"
"bet","12"
"Sei","12"
"iff","12"
"zie","12"
"Pap","12"
"hof","12"
"has","12"
"Gen","11"
"une","11"
"Weg","11"
"err","11"
"dau","11"
"Grü","11"
"ech","11"
"Nov","11"
"cec","11"
"not","11"
"bew","11"
"nds","11"
"zig","11"
"kur","11"
"oge","11"
"eru","11"
"Fen","11"
"Wer","11"
"lli","11"
"sla","11"
"ans","11"
"Hie","11"
"Zus","11"
"eri","11"
"Aug","11"
"dis","11"
"jun","11"
"aut","11"
"hӓt","11"
"pas","11"
"Mӓn","11"
"ade","11"
"Jet","11"
"daz","11"
"nae","11"
"Stu","11"
"Sic","10"
"bed","10"
"lko","10"
"enf","10"
"äch","10"
"füh","10"
"ats","10"
"ize","10"
"igt","10"
"aki","10"
"beh","10"
"Bra","10"
"All","10"
"Kar","10"
"dah","10"
"Jul","10"
"gli","10"
"Min","10"
"unf","10"
"cho","10"
"ise","10"
"egs","10"
"aue","10"
"Ins","10"
"stä","10"
"ide","10"
"ame","10"
"fal","10"
"ndl","10"
"wed","10"
"fac","10"
"ngt","10"
"Dam","10"
"olt","10"
"tau","10"
"irg","10"
"Gef","10"
"Zug","10"
"ӓch","10"
"eur","10"
"tzd","10"
"ohl","10"
"zue","10"
"Dor","10"
"enb","10"
"Und","10"
"erm","9"
"rde","9"
"ret","9"
"chg","9"
"Beh","9"
"chä","9"
"Übe","9"
"amt","9"
"igu","9"
"Art","9"
"sow","9"
"Ans","9"
"mel","9"
"neu","9"
"Pro","9"
"rbe","9"
"iss","9"
"Sti","9"
"Kom","9"
"aub","9"
"gun","9"
"mar","9"
"agt","9"
"oss","9"
"Geg","9"
"wes","9"
"eno","9"
"use","9"
"hri","9"
"set","9"
"bel","9"
"tal","9"
"bem","9"
"oft","9"
"Dac","9"
"Ant","9"
"Bür","9"
"nem","9"
"fur","9"
"ekt","9"
"hӧr","9"
"zuf","9"
"Bru","9"
"Spi","9"
"rhe","9"
"Hun","9"
"paa","9"
"wak","9"
"lst","8"
"Dez","8"
"enk","8"
"hör","8"
"est","8"
"per","8"
"tri","8"
"Zwe","8"
"ife","8"
"ssl","8"
"Win","8"
"unb","8"
"Für","8"
"hti","8"
"Amt","8"
"ebt","8"
"Hei","8"
"zwa","8"
"tim","8"
"tru","8"
"rge","8"
"Flu","8"
"tän","8"
"Den","8"
"ehm","8"
"Mor","8"
"dlu","8"
"Qua","8"
"dra","8"
"laf","8"
"Kaf","8"
"Tei","8"
"abs","8"
"hma","8"
"Sel","8"
"sig","8"
"neb","8"
"ane","8"
"wär","8"
"End","8"
"fas","8"
"jem","8"
"efo","8"
"zli","8"
"Ung","8"
"Uns","8"
"mli","8"
"rer","8"
"dit","8"
"Zim","8"
"Gla","8"
"Nun","8"
"Pac","8"
"spo","8"
"Beg","8"
"Mӓd","8"
"Got","8"
"bit","8"
"lig","8"
"lit","8"
"Bah","8"
"Por","8"
"Päs","8"
"Hot","8"
